FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.82786Co0.87559Fe0.0Y0.0Zr0.12441O3,01201,21,2,10,0.14816999,14.588328,41.382011,31.643998999999997,0.8900014390168585,2.1500034762766806,1.4900024091405832,137.32722204030125,1.8115744999999999,1.374882,0.7797375833333334,62.95049405005,0.8278586614577862,0.49128613756533807,1.5637730920011177,1.9109023868913801,2.18151142596461
Ba0.8392Co0.88106Fe0.0Y0.0Zr0.11894O3,01201,22,2,11,0.12995,14.88732,45.380009,31.643998999999997,0.8900025917470777,2.1500062609620416,1.4900043389922986,137.32739990657407,1.8145829999999998,1.3737880000000002,0.7792361666666667,62.7738633467,0.8391975561934675,0.4904722416924868,1.5650204114186768,1.912134475695706,2.1876525130867757
Ba0.85077Co0.85991Fe0.0Y0.0Zr0.14009O3,01201,23,3,1,0.20321,,5.4000001,19.148001,0.8899950930336172,2.149988146092446,1.4899917849663928,137.32624285508714,1.8029505,1.378018,0.7811749166666667,63.45681387244999,0.8507746906997827,0.4936325722939245,1.5602032383411872,1.9073727959984967,2.1640897876013256
Ba0.83773Co0.85996Fe0.0Y0.0Zr0.14004O3,01201,24,3,2,0.21055,,9.3999996,19.148001,0.8900038397322948,2.1500092757577907,1.4900064283158643,137.32759247069308,1.802978,1.3780080000000001,0.7811703333333333,63.455199332199996,0.8377263857920699,0.493629894392663,1.5602298939903037,1.9074027324589442,2.1641661190244963
Ba0.84102Co0.85527Fe0.0Y0.0Zr0.14473O3,01201,25,3,3,0.21684,,13.395999999999999,19.148001,0.8900045989527238,2.1500111098296135,1.4900076993702902,137.32770961840527,1.8003985,1.378946,0.7816002500000001,63.606643207649995,0.8410156541671535,0.49433755857535083,1.5591699093580267,1.9063551980315896,2.159015201762586
Ba0.83392Co0.85356Fe0.0Y0.0Zr0.14644O3,01201,26,3,4,0.21659,,17.39398,19.148001,0.8899984032881288,2.149996142774693,1.4899973268531594,137.32675362735827,1.7994579999999998,1.379288,0.781757,63.6618604842,0.8339214961037669,0.4945924846749015,1.5587724556254337,1.9059596867737154,2.157127557738293
Ba0.83026Co0.85621Fe0.0Y0.0Zr0.14379O3,01201,27,3,5,0.21314,,21.392,19.148001,0.889999877811555,2.1499997048256665,1.4899997954373225,137.32698114632294,1.8009155,1.3787580000000002,0.7815140833333334,63.57628985095,0.8302601139867328,0.4941930244986814,1.5593742374119797,1.9065552716364857,2.1600345265235843
Ba0.82973Co0.85998Fe0.0Y0.0Zr0.14002O3,01201,28,3,6,0.20480999,,25.389999,19.148001,0.890000535730818,2.1500012941811897,1.4900008968976617,137.32708266326523,1.8029889999999997,1.378004,0.7811685,63.45455351609999,0.829729500548692,0.4936250502531176,1.5602286308176099,1.907400128010361,2.1641801108634695
Ba0.83605Co0.86517Fe0.0Y0.0Zr0.13483O3,01201,29,3,7,0.19460999999999998,,29.388,19.148001,0.8900035781411938,2.150008643824232,1.490005990371212,137.3275521071862,1.8058435,1.3769660000000001,0.78069275,63.28696423815,0.836046638772002,0.4928464610256613,1.5614101174787407,1.9085690117798735,2.169918462045677
Ba0.83422Co0.86963Fe0.0Y0.0Zr0.13037O3,01201,30,3,8,0.18082,,33.386002000000005,19.148001,0.8900023067733199,2.1500055725422897,1.4900038619014007,137.32735593512325,1.8082965,1.376074,0.7802839166666669,63.14294724785,0.8342178378073581,0.49217719924432746,1.5624200243172168,1.9095662874439618,2.174864524395465
Ba0.83057Co0.87312Fe0.0Y0.0Zr0.12688O3,01201,31,3,9,0.16478001,,37.383998999999996,19.148001,0.8899971012275404,2.1499929973474288,1.4899951469989159,137.32655271940948,1.8102159999999998,1.375376,0.7799640000000001,63.0302523384,0.8305727052149254,0.4916524333159913,1.5632038056120137,1.9103383579228217,2.178740329042691
Ba0.83229Co0.86417Fe0.0Y0.0Zr0.13583O3,01201,32,3,10,0.15050999999999998,3.246212,41.382011,19.148001,0.8899995676413419,2.149998955538073,1.489999276163595,137.32693328705906,1.8052934999999999,1.377166,0.7807844166666668,63.31925504315,0.8322904043235532,0.49299438991019573,1.5611763255396034,1.9083363401702047,2.168802099668975
Ba0.83973Co0.87599Fe0.0Y0.0Zr0.12401O3,01201,33,3,11,0.13377,15.172872,45.380009,19.148001,0.8900048818641073,2.1500117932672254,1.4900081730084493,137.32775327163176,1.8117945,1.3748020000000003,0.7797009166666667,62.93757772805,0.8397253939042018,0.4912283826140919,1.5638701378578332,1.9109996425019584,2.1819675657842734
