FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.88894Co0.23398Fe0.37146Y0.0872Zr0.30736O3,01197,21,2,10,,0.25154001,,,,,41.381989000000004,31.646,0.8900023904979789,2.150005774798488,1.4900040020696501,137.32736885383815,1.634827,1.4692850000000002,0.8514618833333334,70.32457142610001,0.8889376123555441,0.5444015730704098,1.4633007039468096,1.7499362346515492,1.952765101428986
Ba0.87106Co0.22402Fe0.38464Y0.09033Zr0.30101O3,01197,22,2,11,,0.22714999,,,,,45.37999,31.646,0.8900043160355853,2.150010426378099,1.4900072257224966,137.32766596429082,1.6355947,1.4700825,0.8528394333333333,70.1726368144,0.8710557758340165,0.5441472242699156,1.4625100471423196,1.7471134277865004,1.9569973738839193
Ba0.93179Co0.41202Fe0.25363Y0.06826Zr0.26608O3,01197,23,3,1,,0.22804999,,,,,5.4000001,19.15,0.8900020656305789,2.1500049900064546,1.4900034581905197,137.32731872679832,1.6759041,1.4466010000000002,0.832607475,68.7872175949,0.9317878373826406,0.5310578723630899,1.486246027761943,1.7895629128125707,1.9964075234957608
Ba0.91527Co0.38292Fe0.25777Y0.07997Zr0.27934O3,01197,24,3,2,,0.25007001,,,,,9.397999800000001,19.15,0.8900012672964022,2.1500030614463648,1.490002121653527,137.32719554383485,1.6606943,1.454743,0.8373603250000001,69.55417766389999,0.9152686967227793,0.5359211910924258,1.4779263838673669,1.779403772985694,1.9743917641788238
Ba0.89792Co0.35878Fe0.26152Y0.08529Zr0.29442O3,01197,25,3,3,,0.26745999,,,,,13.39599,19.15,0.8900027912417379,2.150006742887344,1.4900046729777408,137.32743068860015,1.6487204,1.4603540000000002,0.8405112333333334,70.18958612859998,0.8979171839281789,0.5398142651972632,1.4722503878424982,1.772736179942081,1.9565214480249467
Ba0.88873Co0.33364Fe0.26906Y0.08999Zr0.30731O3,01197,26,3,4,,0.28051999,,,,,17.393998999999997,19.15,0.8900010634174216,2.150002568929726,1.4900017803280428,137.32716408530814,1.6381331000000001,1.4654105000000002,0.8435965833333334,70.7228117613,0.888728938101308,0.5433020451252841,1.4671674380180337,1.7662491880189288,1.9417661807452982
Ba0.89198Co0.31526Fe0.27473Y0.09337Zr0.31664O3,01197,27,3,5,,0.29031,,,,,21.391991,19.15,0.8899956340668355,2.1499894530828048,1.4899926907411065,137.32632633651272,1.6304873,1.469081,0.8458472916666666,71.10788248019999,0.8919843756676045,0.5458464068176646,1.4634927911277897,1.7615386434650737,1.9312391474285748
Ba0.8748Co0.28912Fe0.27838Y0.10488Zr0.32762O3,01197,28,3,6,,0.29306,,,,,25.389999,19.15,0.8899952787221272,2.1499885946658126,1.489992095838168,137.3262715068242,1.6166692,1.476639,0.8502878833333335,71.79614886639999,0.8748046406694304,0.5505116808819808,1.4560014970929338,1.752338384497542,1.9127247585711633
Ba0.87672Co0.27078Fe0.28585Y0.10533Zr0.33805O3,01197,29,3,7,,0.28870001,,,,,29.38802,19.15,0.8899987619095039,2.1499970091072282,1.4899979272417536,137.32680896263645,1.610281,1.4793145,0.8520026250000001,72.1239501726,0.8767212196182133,0.552697797408964,1.453373849243841,1.7488184701798934,1.904038930674198
Ba0.86079Co0.25718Fe0.29085Y0.11172Zr0.34026O3,01197,30,3,8,,0.27555001,,,,,33.386009,19.15,0.890002149993664,2.1500051938049185,1.4900035994275946,137.32733174402233,1.6045981,1.482882,0.8543619916666667,72.3713971421,0.8607879205746346,0.5546573624845149,1.44988285905751,1.7439956528507725,1.8975360040981726
Ba0.8649Co0.24429Fe0.30271Y0.11313Zr0.33987O3,01197,31,3,9,,0.26006001,,,,,37.384009999999996,19.15,0.8900000238749205,2.1500000576753697,1.4900000399703726,137.32700368390024,1.6032701999999999,1.484018,0.855699825,72.36384984705,0.8648999767984065,0.5551154283756541,1.4487695281831956,1.7412648646625266,1.8977293769493737
Ba0.85907Co0.23452Fe0.30683Y0.11315Zr0.3455O3,01197,32,3,10,,0.23939000000000002,,,,,41.381989000000004,19.15,0.8899980296745866,2.149995240225125,1.4899967013653193,137.3266959787887,1.5999545,1.485359,0.8565681083333334,72.5335231689,0.859071901855281,0.5562645873208186,1.447458318308991,1.7394958869814554,1.8932858901533394
Ba0.84741Co0.2259Fe0.31971Y0.11737Zr0.33702O3,01197,33,3,11,,0.21763000000000002,,,,,45.381989000000004,19.15,0.8900032108092639,2.1500077564493454,1.4900053753997788,137.32749542786942,1.6011893000000001,1.486206,0.858021275,72.346405795,0.8474069428516153,0.5558388447944687,1.446641822499267,1.7365599418263595,1.8981937515596718
Ba0.9294Co0.3822Fe0.25252Y0.07675Zr0.28852O3,01197,34,4,1,,0.17155001,,,,,5.4000001,6.650000099999999,0.8900036066049143,2.150008712584905,1.4900060380239575,137.32755649913827,1.6580141999999998,1.454854,0.8368775,69.76971899649999,0.9293962337471641,0.5367888927639549,1.4778175078632667,1.7804350553383947,1.96829739999422
Ba0.90456Co0.35777Fe0.25316Y0.0868Zr0.30227O3,01197,35,4,2,,0.18836001,,,,,9.397999800000001,6.650000099999999,0.8899977305016844,2.149994517504069,1.48999620050282,137.32664981640988,1.6438055,1.462172,0.8409297166666667,70.51355563515,0.90456230663217,0.5414252054161423,1.4704114957091703,1.771843913911101,1.947521275582287
Ba0.90656Co0.33511Fe0.24895Y0.09809Zr0.31785O3,01197,36,4,3,,0.20376,,,,,13.39599,6.650000099999999,0.8900001484341415,2.150000358576859,1.490000248502102,137.32702290338804,1.6279956000000002,1.470158,0.8450706583333334,71.36803895295,0.906559848804008,0.5466846153847967,1.4624280917947994,1.7631664687550657,1.9242090005292436
Ba0.8845Co0.31064Fe0.2525Y0.10734Zr0.32951O3,01197,37,4,4,,0.21425999999999998,,,,,17.393998999999997,6.650000099999999,0.8900013101929908,2.150003165072955,1.4900021934691643,137.32720216277846,1.6152813000000004,1.4768165,0.8489435166666668,72.01024437379999,0.8844986979056244,0.5509884316700692,1.4558363649600037,1.755125240039033,1.9070509113942573
Ba0.86942Co0.28795Fe0.24918Y0.11371Zr0.34915O3,01197,38,4,5,,0.22246,,,,,21.391991,6.650000099999999,0.8899977607322389,2.1499945905329367,1.4899962511135234,137.32665448098444,1.6004411,1.4834450000000001,0.8521949333333334,72.84561440375,0.869422187493343,0.5560952919368535,1.4493254488929057,1.74842186081235,1.8851739477389189
Ba0.86755Co0.27221Fe0.25392Y0.11957Zr0.3543O3,01197,39,4,6,,0.22658999,,,,,25.389999,6.650000099999999,0.889997581392328,2.149994157296073,1.489995950870302,137.3266268088362,1.5935228,1.4873625000000001,0.8546656166666667,73.17350309545,0.8675523576053797,0.5585094743497414,1.4455078417642457,1.7433671389303407,1.876726150854124
Ba0.8625Co0.25717Fe0.25236Y0.12709Zr0.36338O3,01197,40,4,7,,0.22555999,,,,,29.389999,6.650000099999999,0.890000563136244,2.1500013603853083,1.4900009427786556,137.32708689192245,1.5836436,1.4924845,0.8574095833333333,73.69691555464999,0.8624994542643787,0.5619954913695505,1.440551885386621,1.7377936656434492,1.8634034526192276
Ba0.86466Co0.24831Fe0.25688Y0.12591Zr0.36891O3,01197,41,4,8,,0.22059,,,,,33.386009,6.650000099999999,0.8899998735860123,2.149999694617895,1.4899997883630993,137.3269804943217,1.5811737,1.493299,0.85798405,73.82674666395,0.8646601228147575,0.5628729301442418,1.4397650401010749,1.7366287734172905,1.8601250454583447
Ba0.85466Co0.2367Fe0.25843Y0.13304Zr0.37182O3,01197,42,4,9,,0.21118,,,,,37.384009999999996,6.650000099999999,0.8899995170281594,2.1499988332702724,1.4899991914291657,137.32692547744497,1.5747522999999999,1.49714,0.860302875,74.1284525705,0.8546604637943116,0.5651679423031543,1.4360706635787386,1.73194724175386,1.8525535164360802
Ba0.8584Co0.2295Fe0.2705Y0.12977Zr0.37023O3,01197,43,4,10,,0.19697,,,,,41.381989000000004,6.650000099999999,0.8900021807401729,2.150005268080193,1.4900036509020873,137.3273364882087,1.5772003,1.4959675,0.8602923500000001,73.94241442700002,0.8583978966935082,0.5642924242026665,1.4372005194499164,1.7319736144371005,1.8572200752760883
Ba0.83364Co0.21642Fe0.2824Y0.1349Zr0.36628O3,01197,44,4,11,4.0313945,0.18005,0.5799135,841.0051900000001,2.9329097,31.342347999999998,45.37999,6.650000099999999,0.8899977061232076,2.149994458612243,1.489996159689415,137.32664605481094,1.575392,1.498081,0.8623255,73.93187594689999,0.8336421486206493,0.564937302032261,1.4351656943865136,1.7278813623039269,1.857475470437716
