FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.88651Co0.0Fe0.84015Y0.0Zr0.15985O3,01160,35,4,2,,0.1742,,,,,,,,,,,9.397999800000001,6.650000099999999,0.8900026551235729,2.1500064140625637,1.490004445094521,137.3274096855673,1.750075,1.4239774999999997,0.853698875,61.500333149999996,0.8865073552959813,0.5085511507355815,1.5098598215649925,1.7453513044567628,2.232953915072691
Ba0.88802Co0.0Fe0.83995Y0.0Zr0.16005O3,01160,36,4,3,,0.17747000000000002,,,,,,,,,,,13.39599,6.650000099999999,0.8900040684756655,2.1500098283400906,1.490006811268249,137.32762776579517,1.749975,1.4240074999999999,0.853700375,61.50740895,0.8880159405941069,0.5085810188577925,1.509830410542143,1.745351009443154,2.232700582094593
Ba0.89244Co0.0Fe0.83928Y0.0Zr0.16072O3,01160,37,4,4,,0.17798001,,,,,,,,,,,17.393998999999997,6.650000099999999,0.8899968812320287,2.149992465897597,1.4899947786918233,137.32651877410203,1.7496400000000003,1.424108,0.8537054000000001,61.53111288,0.8924431273292605,0.5086742879861164,1.5097116692677783,1.7453266415930169,2.2318224447186696
Ba0.88918Co0.0Fe0.83408Y0.0Zr0.16592O3,01160,38,4,5,,0.17569,,,,,,,,,,,21.393998999999997,6.650000099999999,0.890002998647733,2.150007243924299,1.4900050202080024,137.3274626913452,1.7470400000000001,1.4248880000000002,0.8537444000000001,61.715083680000006,0.8891770041251599,0.5094348146852579,1.5088956071805635,1.7452589091161268,2.22518474419324
Ba0.89821Co0.0Fe0.83814Y0.0Zr0.16186O3,01160,39,4,6,,0.16949999,,,,,,,,,,,25.389999,6.650000099999999,0.889996301470472,2.1499910653500165,1.489993808079779,137.32642931689384,1.7490700000000001,1.4242789999999999,0.85371395,61.57144494,0.8982137326629356,0.5088397270952403,1.5095294288197865,1.7453080251058084,2.2303590479436592
Ba0.89764Co0.0Fe0.83318Y0.0Zr0.16682O3,01160,40,4,7,,0.16101,,,,,,,,,,,29.38802,6.650000099999999,0.8899959972144045,2.149990330349404,1.4899932987072613,137.3263823701826,1.74659,1.425023,0.85375115,61.74692478,0.8976440371647437,0.5095620593352786,1.5087407924990714,1.7452313811902465,2.2240197849442214
Ba0.90215Co0.0Fe0.83291Y0.0Zr0.16709O3,01160,41,4,8,,0.15057001,,,,,,,,,,,33.386009,6.650000099999999,0.8899977484788936,2.1499945609321585,1.489996230599496,137.3266525902933,1.746455,1.4250635,0.853753175,61.75647711,0.9021522822639378,0.5096024509528694,1.5087008831060218,1.745230675832621,2.2236801549688217
Ba0.90982Co0.0Fe0.8364Y0.0Zr0.1636O3,01160,42,4,9,,0.13883001,,,,,,,,,,,37.384009999999996,6.650000099999999,0.8899963934215713,2.149991287479077,1.4899939620203835,137.32644350494846,1.7482000000000002,1.42454,0.8537270000000001,61.633004400000004,0.9098236869106551,0.509093006190122,1.5092530132387136,1.7452815267882862,2.228131580503456
Ba0.90093Co0.0Fe0.83818Y0.0Zr0.16182O3,01160,43,4,10,,0.12588,,,,,,,,,,,41.381989000000004,6.650000099999999,0.8900005933530434,2.1500014333809476,1.4900009933663312,137.3270915543746,1.7490900000000003,1.424273,0.8537136500000001,61.570029780000006,0.9009293993604482,0.5088363625388306,1.5095430675024717,1.7453170549238974,2.230421067604924
Ba0.87773Co0.0Fe0.84038Y0.0Zr0.15962O3,01160,44,4,11,4.090549899999999,0.1124,0.6167928,0.38496208,,1081.1914,1205.2604,,6.4306288,30.877703000000004,38.062618,,45.37999,6.650000099999999,0.8899977190920152,2.1499944899413848,1.4899961814012388,137.32664805589795,1.7501900000000001,1.423943,0.85369715,61.492195980000005,0.8777322494679735,0.5085149150046653,1.509888029184725,1.7453451512649876,2.2332370127188605
